Player,2024-2025_std_Pos,2024-2025_std_Age,2024-2025_std_Min,2024-2025_std_90s,2024-2025_poss_Att Pen,2024-2025_play_Min,2024-2025_play_90s
Gabriel Strefezza,"FW,MF",27.0,2619.0,29.1,27.0,2619.0,29.1
Nicolás Paz,"MF,FW",19.0,2687.0,29.9,21.0,2687.0,29.9
Marc-Oliver Kempf,DF,29.0,2615.0,29.1,305.0,2615.0,29.1
Lucas Da Cunha,MF,23.0,2613.0,29.0,54.0,2613.0,29.0
Edoardo Goldaniga,DF,30.0,2532.0,28.1,154.0,2532.0,28.1
Patrick Cutrone,FW,26.0,2047.0,22.7,5.0,2047.0,22.7
Alberto Moreno,DF,32.0,1727.0,19.2,58.0,1727.0,19.2
Máximo Perrone,MF,21.0,1857.0,20.6,62.0,1857.0,20.6
Alberto Dossena,DF,25.0,1825.0,20.3,173.0,1825.0,20.3
Alieu Fadera,"FW,DF",22.0,1644.0,18.3,16.0,1644.0,18.3
Jean Butez,GK,29.0,1666.0,18.5,641.0,1666.0,18.5
Maxence Caqueret,MF,24.0,1087.0,12.1,9.0,1087.0,12.1
Ignace Van Der Brempt,DF,22.0,1257.0,14.0,44.0,1257.0,14.0
Assane Diao,"FW,MF",18.0,1252.0,13.9,16.0,1252.0,13.9
Pepe Reina,GK,41.0,1034.0,11.5,307.0,1034.0,11.5
Álex Valle,DF,20.0,1030.0,11.4,26.0,1030.0,11.4
Yannik Engelhardt,"MF,DF",23.0,1164.0,12.9,42.0,1164.0,12.9
Emil Audero,GK,27.0,720.0,8.0,219.0,720.0,8.0
Mërgim Vojvoda,DF,29.0,717.0,8.0,32.0,717.0,8.0
Sergi Roberto,MF,32.0,696.0,7.7,19.0,696.0,7.7
Ivan Smolčić,DF,23.0,630.0,7.0,29.0,630.0,7.0
Andrea Belotti,FW,30.0,593.0,6.6,7.0,593.0,6.6
Anastasios Douvikas,FW,24.0,580.0,6.4,2.0,580.0,6.4
Jonathan Ikone,FW,26.0,540.0,6.0,4.0,540.0,6.0
Federico Barba,DF,30.0,431.0,4.8,33.0,431.0,4.8
Alessio Iovine,"DF,FW",33.0,387.0,4.3,13.0,387.0,4.3
Luca Mazzitelli,MF,28.0,335.0,3.7,9.0,335.0,3.7
Matthias Braunöder,MF,22.0,268.0,3.0,4.0,268.0,3.0
Marco Sala,DF,25.0,261.0,2.9,9.0,261.0,2.9
Fellipe Jack,DF,18.0,171.0,1.9,10.0,171.0,1.9
Daniele Baselli,MF,32.0,22.0,0.2,1.0,22.0,0.2
Alessandro Gabrielloni,"FW,MF",30.0,142.0,1.6,3.0,142.0,1.6
Simone Verdi,"MF,FW",32.0,115.0,1.3,2.0,115.0,1.3
Alberto Cerri,FW,28.0,87.0,1.0,1.0,87.0,1.0
Ben Lhassine Kone,MF,24.0,51.0,0.6,2.0,51.0,0.6
Ali Jasim,"FW,DF",20.0,10.0,0.1,0.0,10.0,0.1
Dele Alli,MF,28.0,9.0,0.1,0.0,9.0,0.1
Oliver Abildgaard,MF,28.0,7.0,0.1,0.0,7.0,0.1
Francesco Andrealli,MF,16.0,,,,,
Ivan Azón,FW,21.0,,,,,
Pierre Bolchini,GK,25.0,,,,,
Tommaso Cassandro,"DF,MF",24.0,,,,,
Alessio Chiesa,DF,18.0,,,,,
Federico Chinetti,FW,19.0,,,,,
William Feola,DF,18.0,,,,,
Sven Lesjak,MF,17.0,,,,,
Giuseppe Mazzaglia,MF,18.0,,,,,
Naj Razi,FW,17.0,,,,,
Mauro Vigorito,GK,34.0,,,,,
