Player,MarketValue,Season
Jean Butez Goalkeeper,€3.50m,2024-2025
Jean Butez,,2024-2025
Goalkeeper,,2024-2025
Emil Audero Goalkeeper,€3.20m,2024-2025
Emil Audero,,2024-2025
Goalkeeper,,2024-2025
Pepe Reina Goalkeeper,€500k,2024-2025
Pepe Reina,,2024-2025
Goalkeeper,,2024-2025
Mauro Vigorito Goalkeeper,€150k,2024-2025
Mauro Vigorito,,2024-2025
Goalkeeper,,2024-2025
Pierre Bolchini Goalkeeper,€50k,2024-2025
Pierre Bolchini,,2024-2025
Goalkeeper,,2024-2025
Alberto Dossena Centre-Back,€8.00m,2024-2025
Alberto Dossena,,2024-2025
Centre-Back,,2024-2025
Marc Oliver Kempf Centre-Back,€3.00m,2024-2025
Marc Oliver Kempf,,2024-2025
Centre-Back,,2024-2025
Edoardo Goldaniga Centre-Back,€3.00m,2024-2025
Edoardo Goldaniga,,2024-2025
Centre-Back,,2024-2025
Fellipe Jack Centre-Back,€1.40m,2024-2025
Fellipe Jack,,2024-2025
Centre-Back,,2024-2025
Federico Barba Centre-Back,€500k,2024-2025
Federico Barba,,2024-2025
Centre-Back,,2024-2025
Alessio Chiesa Centre-Back,€75k,2024-2025
Alessio Chiesa,,2024-2025
Centre-Back,,2024-2025
Sven Lesjak Centre-Back,€50k,2024-2025
Sven Lesjak,,2024-2025
Centre-Back,,2024-2025
Raphaël Varane Centre-Back,-,2024-2025
Raphaël Varane,,2024-2025
Centre-Back,,2024-2025
Álex Valle Left-Back,€6.00m,2024-2025
Álex Valle,,2024-2025
Left-Back,,2024-2025
Alberto Moreno Left-Back,€1.50m,2024-2025
Alberto Moreno,,2024-2025
Left-Back,,2024-2025
Marco Sala Left-Back,€900k,2024-2025
Marco Sala,,2024-2025
Left-Back,,2024-2025
Ignace Van der Brempt Right-Back,€4.00m,2024-2025
Ignace Van der Brempt,,2024-2025
Right-Back,,2024-2025
Mërgim Vojvoda Right-Back,€3.00m,2024-2025
Mërgim Vojvoda,,2024-2025
Right-Back,,2024-2025
Ivan Smolcic Right-Back,€1.80m,2024-2025
Ivan Smolcic,,2024-2025
Right-Back,,2024-2025
Tommaso Cassandro Right-Back,€700k,2024-2025
Tommaso Cassandro,,2024-2025
Right-Back,,2024-2025
William Feola Right-Back,€75k,2024-2025
William Feola,,2024-2025
Right-Back,,2024-2025
Máximo Perrone Defensive Midfield,€12.00m,2024-2025
Máximo Perrone,,2024-2025
Defensive Midfield,,2024-2025
Yannik Engelhardt Defensive Midfield,€6.00m,2024-2025
Yannik Engelhardt,,2024-2025
Defensive Midfield,,2024-2025
Oliver Abildgaard Defensive Midfield,€1.00m,2024-2025
Oliver Abildgaard,,2024-2025
Defensive Midfield,,2024-2025
Francesco Andrealli Defensive Midfield,-,2024-2025
Francesco Andrealli,,2024-2025
Defensive Midfield,,2024-2025
Maxence Caqueret Central Midfield,€16.00m,2024-2025
Maxence Caqueret,,2024-2025
Central Midfield,,2024-2025
Lucas Da Cunha Central Midfield,€10.00m,2024-2025
Lucas Da Cunha,,2024-2025
Central Midfield,,2024-2025
Luca Mazzitelli Central Midfield,€1.50m,2024-2025
Luca Mazzitelli,,2024-2025
Central Midfield,,2024-2025
Sergi Roberto Central Midfield,€1.50m,2024-2025
Sergi Roberto,,2024-2025
Central Midfield,,2024-2025
Matthias Braunöder Central Midfield,€1.40m,2024-2025
Matthias Braunöder,,2024-2025
Central Midfield,,2024-2025
Ben Lhassine Kone Central Midfield,€500k,2024-2025
Ben Lhassine Kone,,2024-2025
Central Midfield,,2024-2025
Daniele Baselli Central Midfield,€300k,2024-2025
Daniele Baselli,,2024-2025
Central Midfield,,2024-2025
Giuseppe Mazzaglia Central Midfield,€250k,2024-2025
Giuseppe Mazzaglia,,2024-2025
Central Midfield,,2024-2025
Alessio Iovine Right Midfield,€400k,2024-2025
Alessio Iovine,,2024-2025
Right Midfield,,2024-2025
Nico Paz Attacking Midfield,€35.00m,2024-2025
Nico Paz,,2024-2025
Attacking Midfield,,2024-2025
Dele Alli Attacking Midfield,€2.00m,2024-2025
Dele Alli,,2024-2025
Attacking Midfield,,2024-2025
Simone Verdi Attacking Midfield,€1.50m,2024-2025
Simone Verdi,,2024-2025
Attacking Midfield,,2024-2025
Naj Razi Attacking Midfield,€300k,2024-2025
Naj Razi,,2024-2025
Attacking Midfield,,2024-2025
Assane Diao Left Winger,€30.00m,2024-2025
Assane Diao,,2024-2025
Left Winger,,2024-2025
Alieu Fadera Left Winger,€4.50m,2024-2025
Alieu Fadera,,2024-2025
Left Winger,,2024-2025
Ali Jasim Left Winger,€550k,2024-2025
Ali Jasim,,2024-2025
Left Winger,,2024-2025
Jonathan Ikoné Right Winger,€7.00m,2024-2025
Jonathan Ikoné,,2024-2025
Right Winger,,2024-2025
Gabriel Strefezza Right Winger,€6.00m,2024-2025
Gabriel Strefezza,,2024-2025
Right Winger,,2024-2025
Anastasios Douvikas Centre-Forward,€10.00m,2024-2025
